YEAR,FRANKFURT_GERMANY,DIJON_FRANCE,STPETERBURG_RUSSIA
1880,10.1931694,,
1881,9.421643836,,3.046575342
1882,10.01369863,,5.242739726
1883,9.699726027,,4.322465753
1884,10.27868852,,3.736612022
1885,9.214794521,,4.355068493
1886,9.83260274,,4.739178082
1887,8.436164384,,4.916438356
1888,8.483606557,,2.14726776
1889,8.910958904,,4.444931507
1890,8.897808219,,5.429589041
1891,8.967123288,,4.310136986
1892,9.034153005,,2.914754098
1893,9.72630137,,2.492054795
1894,9.754520548,,4.970410959
1895,9.124383562,,3.96
1896,9.36420765,,4.788797814
1897,9.650958904,,4.981917808
1898,10.20821918,,4.843287671
1899,10.10136986,,3.779452055
1900,10.35890411,,3.751780822
1901,9.572876712,,4.800273973
1902,9.448767123,,2.222465753
1903,10.42767123,,5.465479452
1904,10.47322404,,3.979781421
1905,10.29561644,,5.036438356
1906,10.43479452,,5.469589041
1907,9.996438356,,3.275068493
1908,8.980874317,,3.880054645
1909,9.23890411,,4.344931507
1910,10.10821918,,5.776712329
1911,10.90493151,,4.468219178
1912,9.654098361,,3.993442623
1913,10.28712329,,5.451232877
1914,10.08684932,,5.478082192
1915,10.0090411,,2.87260274
1916,10.19398907,,4.683879781
1917,9.278082192,,3.61890411
1918,10.21671233,,4.126575342
1919,9.21890411,,3.86739726
1920,10.30409836,,6.120218579
1921,11.0260274,,4.656438356
1922,9.009041096,9.705494505,4.090958904
1923,9.874794521,10.83269231,3.777260274
1924,9.099726776,10.05437158,4.709016393
1925,9.944109589,10.34794521,5.348219178
1926,10.51589041,11.20082192,3.649041096
1927,9.863013699,10.69178082,4.193972603
1928,10.22786885,10.89153005,4.521857923
1929,9.421369863,10.0309589,4.150410959
1930,10.58986301,10.7939726,5.833150685
1931,9.32109589,9.570410959,4.172876712
1932,9.865846995,9.817486339,5.791803279
1933,9.614246575,10.34931507,4.285479452
1934,11.24986301,11.38191781,6.676712329
1935,10.27369863,10.6539726,5.164931507
1936,10.25081967,10.68767123,6.039344262
1937,10.65287671,11.29315068,5.944931507
1938,10.36328767,10.46712329,6.458630137
1939,10.15369863,10.19917808,4.989589041
1940,8.596994536,,3.139071038
1941,9.306027397,,1.845205479
1942,9.249315068,,2.312876712
1943,10.57890411,,5.771506849
1944,10.20027322,,5.248907104
1945,10.46703297,11.59808219,3.835616438
1946,10.09671233,10.74794521,4.449041096
1947,10.66739726,11.76547945,3.736986301
1948,10.63551913,11.11147541,5.133879781
1949,10.96356164,11.69917808,6.304383562
1950,10.35506849,11.18328767,4.663835616
1951,10.57835616,10.60438356,4.740547945
1952,10.08579235,10.94562842,4.155464481
1953,10.91041096,10.66164384,5.080821918
1954,9.819726027,10.25178082,4.833424658
1955,9.528767123,10.65123288,3.474520548
1956,9.021311475,9.328142077,3.109016393
1957,10.63561644,10.79726027,5.521917808
1958,10.27780822,10.74164384,3.815342466
1959,11.30082192,11.90164384,5.447123288
1960,10.7442623,10.87786885,4.696174863
1961,10.84383562,11.60767123,6.363013699
1962,8.960547945,9.961917808,4.798630137
1963,8.779178082,9.71369863,4.09890411
1964,10.18114754,10.77814208,5.069398907
1965,9.439726027,10.14630137,4.374246575
1966,10.50931507,10.99917808,3.326849315
1967,10.83068493,10.80794521,5.345205479
1968,9.865027322,10.35,4.067213115
1969,9.700821918,10.42794521,3.650684932
1970,9.741643836,10.3339726,4.824931507
1971,10.23479452,10.45287671,4.799726027
1972,9.342349727,10.4295082,6.25273224
1973,9.84,10.6690411,5.259178082
1974,10.33315068,11.11534247,6.334794521
1975,10.32191781,10.74,6.698082192
1976,10.31912568,11.36748634,3.283879781
1977,10.06273973,11.10383562,4.88739726
1978,9.225753425,10.24219178,3.588493151
1979,9.188767123,10.65232877,5.108493151
1980,9.089071038,10.01912568,4.553278689
1981,9.548219178,10.71890411,5.390958904
1982,10.15232877,11.21041096,5.32739726
1983,10.29452055,10.85041096,6.224109589
1984,9.636612022,10.02131148,5.953005464
1985,9.489315068,9.535616438,3.666849315
1986,10.28219178,9.76109589,5.077260274
1987,9.741643836,9.830410959,3.215068493
1988,11.26994536,11.11530055,5.89863388
1989,11.38410959,10.95890411,7.611232877
1990,11.50410959,11.26986301,6.359452055
1991,10.55342466,10.5460274,6.343287671
1992,11.31994536,10.92131148,6.256557377
1993,10.87479452,10.59616438,5.020821918
1994,12.04958904,12.04054795,5.424109589
1995,11.25835616,11.1460274,6.315342466
1996,9.559836066,10.12923497,4.836338798
1997,11.17424658,11.37643836,5.418356164
1998,11.18383562,10.82410959,5.041643836
1999,11.68958904,11.33424658,6.405205479
2000,11.94836066,11.74344262,6.921038251
2001,11.23945205,11.15287671,5.808219178
2002,11.71561644,11.81506849,5.98739726
2003,11.85342466,12.14876712,5.709589041
2004,11.21693989,11.00136612,6.034153005
2005,11.74931507,11.20054795,6.423013699
2006,12.06136986,11.58082192,6.523561644
2007,12.21424658,11.61041096,6.950410959
2008,11.55218579,10.99234973,7.299453552
2009,11.34164384,11.44493151,6.22
2010,10.10821918,10.36246575,5.639452055
2011,11.91205479,12.08630137,6.945753425
2012,11.37868852,11.39071038,5.612295082
2013,10.86246575,10.69232877,7.163561644
2014,12.46684932,12.35178082,7.393424658
2015,12.25726027,12.15561644,7.706849315
2016,11.56912568,11.44043716,6.545901639
2017,11.81561644,11.81917808,6.266027397
2018,12.94383562,12.19942029,7.238082192
2019,12.33780822,12.53534247,7.480662983
